diversity_topic,design,mean_reverted_edit_share,mean_edit_burst,mean_n_edits
FALSE,raw,0.17883401248154338,0.43989272953858327,5.859649122807017
TRUE,raw,0.17226889517872274,0.5800437222490941,3.4149659863945576
FALSE,revert_filtered,0.14158156967517296,0.42358570702563136,6.0476352500850625
TRUE,revert_filtered,0.11239125303172492,0.5561485627484873,3.559610705596107
FALSE,revert_weighted,0.13788847417989755,0.44802073908418344,5.840959927146857
TRUE,revert_weighted,0.12217440901899602,0.589848385127031,3.3548025318539825
FALSE,topic_burst_weighted,0.18086263939097053,0.38437394437227823,6.641219019891613
TRUE,topic_burst_weighted,0.1758775986965737,0.512725867750238,3.9645326121289743
FALSE,event_day_trimmed,0.17883005749659686,0.4286886356148748,5.330409356725146
TRUE,event_day_trimmed,0.17313188994928053,0.5743582388575282,3.256235827664399
FALSE,combined,0.1805902573049019,0.3698665440837643,6.100582813659893
TRUE,combined,0.17697765313448494,0.5042859627178607,3.796333243051826
